id,relevance
1,2.134
4,1.934
5,2.402
6,2.866
7,2.2
8,2.868
10,2.8
11,2.4
12,2.668
13,2.534
14,2.266
15,2.668
19,2.334
22,2.934
24,2.466
25,2.268
26,1.866
28,2.398
29,2.468
30,2.332
31,2.734
32,2.866
33,1.866
36,2.002
39,2.334
40,2.598
41,2.266
42,2.266
43,2.8
44,2.334
45,2.602
46,2.868
47,2.6
49,2.868
50,2.8
52,2.468
53,2.0
54,2.534
55,2.866
56,2.868
57,2.198
58,2.6
59,2.332
60,2.332
61,1.998
62,2.068
63,2.668
64,3.0
66,2.534
67,2.266
68,2.2
70,1.468
71,2.734
72,1.866
73,2.202
74,2.0
76,2.2640000000000002
77,2.198
78,1.332
79,1.934
80,2.4
82,1.864
83,1.864
84,1.736
86,2.534
87,2.734
89,1.998
91,1.732
93,1.8
94,2.134
95,1.8
96,2.334
97,2.0
98,1.798
99,1.8
100,2.868
102,2.134
103,1.732
104,2.2
107,2.732
108,2.0
109,2.602
110,2.334
111,1.998
112,2.4
115,2.134
116,2.668
118,3.0
119,2.466
121,2.668
124,2.468
126,2.468
128,2.332
129,2.868
130,2.334
131,2.0
132,2.002
133,2.668
134,2.4
135,2.468
137,2.132
139,2.734
140,2.468
141,2.2
142,2.084
144,2.734
145,2.868
146,1.6
148,1.734
151,2.266
152,2.334
153,2.466
154,2.0
155,2.068
156,1.8
159,2.2
160,2.534
161,2.334
163,3.0
167,2.468
168,2.2
169,2.468
170,2.734
171,2.532
173,2.532
174,2.134
175,2.6
176,1.8
180,1.802
183,2.332
184,2.466
185,2.466
187,2.334
188,1.666
189,2.066
190,2.268
192,2.2
194,2.868
196,2.334
197,1.534
198,2.466
199,2.466
200,2.2
204,2.8
206,2.534
207,2.266
208,1.936
209,2.068
211,2.6
212,2.268
213,2.398
216,2.934
217,2.668
218,2.334
219,2.534
220,2.668
221,2.466
222,1.932
224,2.134
225,2.666
228,2.334
229,2.666
230,2.866
231,2.2
232,2.266
234,2.934
235,2.934
236,2.266
237,2.4
238,2.532
239,2.134
240,2.334
242,2.8
243,2.334
244,2.4
246,2.4
247,1.8679999999999999
248,2.6
249,2.534
250,1.6
251,2.4
252,2.666
253,2.198
254,2.066
256,2.398
258,1.798
260,2.068
262,2.202
263,2.268
264,1.866
265,2.202
267,2.734
268,2.334
269,2.4
271,1.998
273,2.532
274,2.468
277,2.268
278,2.6
279,2.136
280,2.4
281,2.598
282,2.666
283,2.466
285,2.934
286,2.4
287,2.334
288,2.668
289,2.668
291,2.332
292,2.4
295,2.534
296,2.534
298,2.734
299,2.2
300,2.132
301,2.868
302,2.468
303,1.732
304,1.332
306,2.0
307,2.066
308,2.334
309,2.868
310,2.268
311,2.734
312,2.8
313,2.6
315,2.7359999999999998
316,2.068
317,2.4
320,2.6
321,1.732
322,2.8
324,2.602
325,2.866
326,2.398
328,2.668
329,2.334
330,2.068
332,2.134
333,2.668
336,2.334
337,2.732
338,2.4
339,2.668
342,2.468
344,1.6
345,2.534
348,2.068
349,2.802
352,2.668
353,2.866
356,2.266
357,2.4
358,2.934
360,2.266
362,1.8
364,2.6
366,2.866
367,2.668
368,2.266
369,2.734
370,2.534
371,2.332
372,2.602
376,2.2
377,2.732
378,2.802
379,2.2
380,2.268
381,2.466
382,1.8679999999999999
383,2.2
384,2.466
386,2.4
387,2.4
388,2.666
390,2.334
391,1.732
392,2.6
393,1.866
394,2.134
395,2.068
396,2.334
398,2.336
399,2.732
404,2.6
405,3.0
406,2.068
409,2.332
410,2.398
412,2.2
414,2.398
415,1.8679999999999999
416,2.4
417,1.866
419,2.0
420,2.536
423,2.134
424,2.534
425,1.6
426,2.534
427,2.266
428,2.466
429,2.934
430,1.934
431,2.7359999999999998
432,2.468
433,2.666
434,2.666
435,2.534
436,2.668
437,2.8
438,2.8
439,3.0
441,2.868
442,2.2
443,2.066
448,2.0
449,2.868
450,2.732
451,2.132
453,2.668
457,2.666
460,3.0
462,2.734
463,2.666
464,2.132
465,2.868
466,2.6
467,2.398
471,2.534
472,2.532
474,2.934
477,1.668
482,2.6
483,2.134
484,2.666
486,2.8
487,2.4
488,2.534
489,2.532
490,2.064
493,2.734
494,2.334
495,2.468
496,2.0
498,2.332
499,2.534
502,2.8
503,2.466
504,2.334
505,2.068
506,1.6
507,2.734
509,2.8
510,2.466
512,2.332
513,2.734
514,2.068
515,2.068
518,1.932
519,2.332
520,2.134
521,2.668
522,2.134
523,2.268
525,2.668
526,2.868
527,2.2
528,2.066
529,2.732
530,2.534
531,2.132
532,2.868
534,2.466
535,2.466
537,2.334
538,2.466
539,2.466
540,2.602
541,2.734
543,2.536
545,2.668
546,2.602
547,2.166
548,2.134
550,2.934
552,2.534
553,2.468
554,2.002
555,2.666
556,2.468
558,2.398
560,1.6
561,1.532
564,2.532
565,2.334
566,2.934
567,2.468
569,2.666
570,2.934
574,2.266
575,2.6
577,2.266
578,3.0
579,2.266
580,2.266
586,3.0
587,2.802
588,2.132
589,2.334
590,2.802
592,2.868
594,2.134
596,2.4
597,2.934
598,2.8
599,2.8
601,2.734
602,3.0
603,2.734
604,2.266
607,2.734
608,2.334
